,Unnamed: 0,dataset,num_rows,features,num_pdps_generated,time_in_seconds,pdp_method,grid_resolution
58,58.0,../data/home-data/train.csv,1121,27,378,190.4586601257324,partial_grid_res,80.0
59,59.0,../data/home-data/train.csv,1121,27,378,282.1346471309662,partial_grid_res,100.0
60,60.0,../data/home-data/train.csv,1121,30,465,25.38553094863892,partial_grid_res,20.0
61,61.0,../data/home-data/train.csv,1121,30,465,81.64804983139038,partial_grid_res,40.0
62,62.0,../data/home-data/train.csv,1121,30,465,170.28867983818054,partial_grid_res,60.0
63,63.0,../data/home-data/train.csv,1121,30,465,284.20105504989624,partial_grid_res,80.0
64,64.0,../data/home-data/train.csv,1121,30,465,422.0008230209351,partial_grid_res,100.0
65,65.0,../data/home-data/train.csv,1121,33,561,31.19237899780273,partial_grid_res,20.0
66,66.0,../data/home-data/train.csv,1121,33,561,97.09301590919496,partial_grid_res,40.0
67,67.0,../data/home-data/train.csv,1121,33,561,198.12391901016235,partial_grid_res,60.0
68,68.0,../data/home-data/train.csv,1121,33,561,321.0529417991638,partial_grid_res,80.0
69,69.0,../data/home-data/train.csv,1121,33,561,467.1909921169281,partial_grid_res,100.0
70,70.0,../data/bike-sharing-dataset/hour.csv,17379,3,6,2.981074094772339,partial_grid_res,20.0
71,71.0,../data/bike-sharing-dataset/hour.csv,17379,3,6,10.298420906066896,partial_grid_res,40.0
72,72.0,../data/bike-sharing-dataset/hour.csv,17379,3,6,18.1435821056366,partial_grid_res,60.0
73,73.0,../data/bike-sharing-dataset/hour.csv,17379,3,6,19.80273485183716,partial_grid_res,80.0
74,74.0,../data/bike-sharing-dataset/hour.csv,17379,3,6,20.026621103286743,partial_grid_res,100.0
75,75.0,../data/bike-sharing-dataset/hour.csv,17379,6,21,20.02528738975525,partial_grid_res,20.0
76,76.0,../data/bike-sharing-dataset/hour.csv,17379,6,21,58.34986209869385,partial_grid_res,40.0
77,77.0,../data/bike-sharing-dataset/hour.csv,17379,6,21,95.05883598327635,partial_grid_res,60.0
78,78.0,../data/bike-sharing-dataset/hour.csv,17379,6,21,114.4109902381897,partial_grid_res,80.0
79,79.0,../data/bike-sharing-dataset/hour.csv,17379,6,21,120.1851658821106,partial_grid_res,100.0
80,80.0,../data/bike-sharing-dataset/hour.csv,17379,9,45,39.00143313407898,partial_grid_res,20.0
81,81.0,../data/bike-sharing-dataset/hour.csv,17379,9,45,92.88803386688232,partial_grid_res,40.0
82,82.0,../data/bike-sharing-dataset/hour.csv,17379,9,45,139.5337610244751,partial_grid_res,60.0
83,83.0,../data/bike-sharing-dataset/hour.csv,17379,9,45,162.99887895584106,partial_grid_res,80.0
84,84.0,../data/bike-sharing-dataset/hour.csv,17379,9,45,170.70297288894653,partial_grid_res,100.0
85,85.0,../data/bike-sharing-dataset/day.csv,731,3,9,1.918781042098999,parallelization,100.0
86,86.0,../data/bike-sharing-dataset/day.csv,731,6,36,2.8368639945983887,parallelization,100.0
87,87.0,../data/bike-sharing-dataset/day.csv,731,9,81,3.979198932647705,parallelization,100.0
88,,../data/home-data/train.csv,1121,3,9,6.680983066558838,parallelization,100.0
89,,../data/home-data/train.csv,1121,6,36,10.835981607437134,parallelization,100.0
90,,../data/home-data/train.csv,1121,9,81,28.249861001968384,parallelization,100.0
91,,../data/home-data/train.csv,1121,12,144,58.2019829750061,parallelization,100.0
92,,../data/home-data/train.csv,1121,15,225,89.95406603813171,parallelization,100.0
93,,../data/home-data/train.csv,1121,18,324,107.15920209884644,parallelization,100.0
94,,../data/home-data/train.csv,1121,21,441,114.97004270553589,parallelization,100.0
95,,../data/home-data/train.csv,1121,24,576,114.66807126998901,parallelization,100.0
96,,../data/home-data/train.csv,1121,27,729,167.41912174224854,parallelization,100.0
97,,../data/home-data/train.csv,1121,30,900,249.9859299659729,parallelization,100.0
98,,../data/home-data/train.csv,1121,33,1089,279.2878291606903,parallelization,100.0
99,,../data/bike-sharing-dataset/hour.csv,17379,3,9,23.80817413330078,parallelization,100.0
100,,../data/bike-sharing-dataset/hour.csv,17379,6,36,81.17777585983276,parallelization,100.0
101,,../data/bike-sharing-dataset/hour.csv,17379,9,81,309.4684658050537,parallelization,100.0
